title,releaseDate,retailPrice
Nike DNA CH.1 Pack Air Max 1 / Air Huarache Run,2020-01-15 23:59:59,250.0
Nike SB Blazer Mid Edge Hack Pack Obsidian Mist,2020-01-15 23:59:59,95.0
Air Max 90 Recraft Chinese New Year 2020 (W),2020-01-15 23:59:59,140.0
adidas Ultra Boost 20 Stella McCartney (W),2020-01-15 23:59:59,230.0
New Balance 992 Multi-Color,2020-01-15 23:59:59,245.0
New Balance 992 Blue White Rose,2020-01-15 23:59:59,245.0
Nike React Presto Tiger,2020-01-15 23:59:59,150.0
Jordan Maxin 200 White Black Gym Red,2020-01-15 23:59:59,130.0
Reebok Zig Kinetica Kenzo Minami,2020-01-15 23:59:59,160.0
Jordan Air Max 200 White Challenge Red Black,2020-01-14 23:59:59,125.0
Jordan Air Max 200 White Challenge Red Black (GS),2020-01-14 23:59:59,100.0
Nike SB Blazer Mid Edge Hack Pack White,2020-01-13 23:59:59,95.0
Reebok Club C Tres Rasche Black,2020-01-13 23:59:59,100.0
Reebok Club C Tres Rasche White,2020-01-13 23:59:59,100.0
adidas D.O.N. Issue #1 Core Black Solar Red,2020-01-11 23:59:59,100.0
adidas 4D Runner Pharrell Active Purple,2020-01-11 23:59:59,400.0
adidas 4D Runner Pharrell Tech Olive,2020-01-11 23:59:59,400.0
Jordan 13 Retro Reverse He Got Game,2020-01-11 23:59:59,190.0
Jordan 13 Retro Reverse He Got Game (GS),2020-01-11 23:59:59,140.0
Jordan 13 Retro Reverse He Got Game (TD),2020-01-11 23:59:59,60.0
Jordan 13 Retro Reverse He Got Game (PS),2020-01-11 23:59:59,80.0
Jordan 1 Mid Light Smoke Grey,2020-01-10 23:59:59,110.0
Jordan 1 Low Shadow,2020-01-10 23:59:59,90.0
Under Armour Curry 7 Floral Chinese New Year (2020),2020-01-10 23:59:59,140.0
Under Armour Curry 7 Floral Chinese New Year (2020) (GS),2020-01-10 23:59:59,110.0
Nike Zoom Freak 1 What The,2020-01-10 23:59:59,120.0
Nike Zoom Freak 1 What The (GS),2020-01-10 23:59:59,100.0
Jordan Air Max 200 XX Sail Barely Volt Laser Orange (W),2020-01-10 23:59:59,125.0
Converse All-Star BB Pro Eclipse,2020-01-10 23:59:59,140.0
Converse All-Star BB Pro Low Eclipse,2020-01-10 23:59:59,130.0
Air Max 90 Recraft Hyper Grape (W),2020-01-09 23:59:59,140.0
Air Max 90 Recraft Turquoise (W),2020-01-09 23:59:59,140.0
Air Max 90 Recraft Royal (W),2020-01-09 23:59:59,140.0
Jordan Why Not Zer0.3 The Family,2020-01-09 23:59:59,130.0
Vans Era Patchwork Leopard Snake,2020-01-09 23:59:59,65.0
Vans Epoch Sport Patchwork Leopard Snake,2020-01-09 23:59:59,70.0
Jordan 6 Rings 3M (2020),2020-01-09 23:59:59,170.0
adidas Stycon Laceless Hard Court Grey Two Dash Green,2020-01-08 23:59:59,140.0
adidas Stycon Laceless Clay Court Core Black Night Metallic (W),2020-01-08 23:59:59,140.0
adidas Stycon Laceless Clay Court Core Black Night Metallic,2020-01-08 23:59:59,140.0
adidas Stycon Laceless Hard Court Grey Two Purple Tint (W),2020-01-08 23:59:59,140.0
New Balance 997H Slate Green Stone Blue,2020-01-07 23:59:59,90.0
New Balance 992 White Silver,2020-01-07 23:59:59,175.0
Converse Louie Lopez Pro Triple White,2020-01-07 23:59:59,70.0
Converse Louie Lopez Pro Triple Black,2020-01-07 23:59:59,70.0
Jordan Air Max 200 Fire Red,2020-01-06 23:59:59,125.0
Reebok Instapump Fury Distortedd (W),2020-01-06 23:59:59,180.0
Nike SB Bruin React The Poets,2020-01-04 23:59:59,80.0
Jordan 3 Retro Barely Grape (GS),2020-01-04 23:59:59,140.0
Jordan 3 Retro Barely Grape (PS),2020-01-04 23:59:59,80.0
Jordan 3 Retro Barely Grape (TD),2020-01-04 23:59:59,60.0
New Balance 997 Sport Chinese New Year (2020),2020-01-04 23:59:59,130.0
New Balance X-Racer Chinese New Year (2020),2020-01-04 23:59:59,120.0
Reebok Question Mid Grey Suede,2020-01-03 23:59:59,160.0
Air Max 90 Tokyo Olympics (2020),2020-01-03 23:59:59,150.0
Air Streak Lite Summit White Metallic Gold Persian Violet,2020-01-03 23:59:59,110.0
Jordan 1 Mid Royal 2020 (GS),2020-01-02 23:59:59,90.0
LeBron 7 China Moon 2020 (GS),2020-01-02 23:59:59,155.0
adidas ZX 8000 OG Aqua (2020),2020-01-02 23:59:59,130.0
adidas Rivalry Hi Na-Kel Smith,2020-01-02 23:59:59,110.0
Jordan Why Not Zer0.3 Zer0 Noise,2020-01-02 23:59:59,130.0
Jordan 1 Mid Fire Pink Barely Grape (GS),2020-01-02 23:59:59,90.0
Jordan 1 Mid Royal 2020 (PS),2020-01-02 23:59:59,65.0
Jordan 1 Mid Royal 2020 (TD),2020-01-02 23:59:59,50.0
Jordan 1 Retro MCS University Red,2020-01-02 23:59:59,100.0
Jordan 1 Mid Fire Pink Barely Grape (PS),2020-01-02 23:59:59,65.0
Jordan 1 Mid Royal (2020),2020-01-02 23:59:59,110.0
adidas Ultra Boost DNA Black Gold,2020-01-02 23:59:59,180.0
adidas Streetball Legend Earth,2020-01-02 23:59:59,110.0
Jordan 1 Mid Bred Toe,2020-01-01 23:59:59,110.0
Jordan 1 Mid Bred Toe (GS),2020-01-01 23:59:59,90.0
Jordan 1 Mid Bred Toe (PS),2020-01-01 23:59:59,65.0
Jordan 1 Mid Bred Toe (TD),2020-01-01 23:59:59,50.0
Jordan Dub Zero Gym Red,2020-01-01 23:59:59,160.0
Jordan 1 Mid UNC (W),2020-01-01 23:59:59,115.0
Air Force 1 Low Peach Pack Pink Quartz,2020-01-01 23:59:59,100.0
Air Trainer SC High White Pink Green,2020-01-01 23:59:59,130.0
Nike Blazer Mid 77 Baroque Brown,2020-01-01 23:59:59,100.0
Air MX 720 818 White Black Maize,2020-01-01 23:59:59,200.0
Air Force 1 Type White,2020-01-01 23:59:59,140.0
Air Force 1 Shadow White Lemon (W),2020-01-01 23:59:59,110.0
Air Trainer SC High Black Blue Orange,2020-01-01 23:59:59,130.0
Nike Blazer Mid 77 Vintage Nature Green,2020-01-01 23:59:59,100.0
Nike ACG React Terra Gobe Noble Red Court Purple,2020-01-01 23:59:59,150.0
Nike React Element 55 Sail Phantom University Red (W),2020-01-01 23:59:59,130.0
Reebok Workout Plus Nepenthes NY,2020-01-01 23:59:59,120.0
adidas Lxcon 94 Aqua,2020-01-01 23:59:59,140.0
adidas Lxcon 94 size? Carstensz,2020-01-01 23:59:59,112.0
adidas Busenitz Vulc II Core Black Gold Metallic,2020-01-01 23:59:59,70.0
adidas Nite Jogger Royal Grey Black,2020-01-01 23:59:59,130.0
adidas Nite Jogger White Black Red,2020-01-01 23:59:59,130.0
Asics Gel-Kayano 5 Multi,2020-01-01 23:59:59,130.0
Asics Gel-Lyte III OG White Flash Coral,2020-01-01 23:59:59,130.0
Jordan 85 Racer Chicago,2020-01-01 23:59:59,100.0
